conceptSynonym,conceptName
"(의원·치과의원(보건의료원포함))만70세이상 야간,토요,공휴","(Clinics, dental clinics(including Public Health and Medical care center) 70 international age or more Nighttime, Saturday, holiday"
만70세이상 권역외상센터중증외상,"more than 70 years old regional trauma center, severe trauma"
만70세이상 권역외상센터중증외상 야간,"more than 70 years old regional trauma center, severe trauma Nighttime"
만70세이상 권역외상센터중증외상 공휴,"more than 70 years old regional trauma center, severe trauma holiday"
만1세미만 응급 야간,Under 12 months Emergency Nighttime
만1세미만 응급 공휴일,Under 12 months Emergency holiday
"(의원·치과의원(보건의료원포함))만1세미만 야간,토요,공휴","(Clinic, dental clinic(including Public Health and Medical care center) Under 12 months Nighttime, Saturday, holiday"
만1세이상~만6세미만 응급 야간,More than 12 months~ Under 72 months Emergency Nighttime
만1세이상~만6세미만 응급 공휴일,More than 12 months~ Under 72 months Emergency holiday
"(의원·치과의원(보건의료원포함))만1세이상~만6세미만 야간,토요,공휴","(Clinic, dental clinic(including Public Health and Medical care center) More than 12 months~ Under 72 months Nighttime, Saturday, holiday"
(상급종합병원·종합병원)신생아,"(Senior General Hospital, General Hospital) Neonate"
(상급종합병원·종합병원)신생아 야간,"(Senior General Hospital, General Hospital) Neonate Nighttime"
(상급종합병원·종합병원)신생아 응급,"(Senior General Hospital, General Hospital) Neonate Emergency"
(상급종합병원·종합병원)신생아 응급야간,"(Senior General Hospital, General Hospital) Neonate Emergency Nighttime"
(상급종합병원·종합병원)신생아 응급공휴일,"(Senior General Hospital, General Hospital) Neonate Emergency holiday"
(상급종합병원·종합병원)신생아 공휴일,"(Senior General Hospital, General Hospital) Neonate holiday"
(상급종합병원·종합병원)신생아 권역외상센터중증외상,"(Senior General Hospital, General Hospital) Neonate regional trauma center, severe trauma"
(상급종합병원·종합병원)신생아 권역외상센터중증외상 야간,"(Senior General Hospital, General Hospital) Neonate regional trauma center, severe trauma Nighttime"
(상급종합병원·종합병원)신생아 권역외상센터중증외상 공휴,"(Senior General Hospital, General Hospital) Neonate regional trauma center, severe trauma holiday"
(상급종합병원·종합병원)만1세미만,"(Senior General Hospital, General Hospital) Under 12 months"
(상급종합병원·종합병원)만1세미만 야간,"(Senior General Hospital, General Hospital) Under 12 months Nighttime"
(상급종합병원·종합병원)만1세미만 응급,"(Senior General Hospital, General Hospital) Under 12 months Emergency"
(상급종합병원·종합병원)만1세미만 응급야간,"(Senior General Hospital, General Hospital) Under 12 months Emergency Nighttime"
(상급종합병원·종합병원)만1세미만 응급공휴일,"(Senior General Hospital, General Hospital) Under 12 months Emergency holiday"
(상급종합병원·종합병원)만1세미만 공휴일,"(Senior General Hospital, General Hospital) Under 12 months holiday"
(상급종합병원·종합병원)만1세미만 권역외상센터중증외상,"(Senior General Hospital, General Hospital) Under 12 months regional trauma center, severe trauma"
(상급종합병원·종합병원)만1세미만 권역외상센터중증외상 야간,"(Senior General Hospital, General Hospital) Under 12 months regional trauma center, severe trauma Nighttime"
(상급종합병원·종합병원)만1세미만 권역외상센터중증외상 공휴,"(Senior General Hospital, General Hospital) Under 12 months regional trauma center, severe trauma holiday"
(상급종합병원·종합병원)만1세이상~만6세미만,"(Senior General Hospital, General Hospital) More than 12 months~ Under 72 months"
(상급종합병원·종합병원)만1세이상~만6세미만 야간,"(Senior General Hospital, General Hospital) More than 12 months~ Under 72 months Nighttime"
(상급종합병원·종합병원)만1세이상~만6세미만 응급,"(Senior General Hospital, General Hospital) More than 12 months~ Under 72 months Emergency"
(상급종합병원·종합병원)만1세이상~만6세미만 응급야간,"(Senior General Hospital, General Hospital) More than 12 months~ Under 72 months Emergency Nighttime"
(상급종합병원·종합병원)만1세이상~만6세미만 응급공휴일,"(Senior General Hospital, General Hospital) More than 12 months~ Under 72 months Emergency holiday"
(상급종합병원·종합병원)만1세이상~만6세미만 공휴일,"(Senior General Hospital, General Hospital) More than 12 months~ Under 72 months holiday"
(상급종합병원·종합병원)만1세이상~만6세미만 권역외상센터중증외상,"(Senior General Hospital, General Hospital) More than 12 months~ Under 72 months regional trauma center, severe trauma"
(상급종합병원·종합병원)만1세이상~만6세미만 권역외상센터중증외상 야간,"(Senior General Hospital, General Hospital) More than 12 months~ Under 72 months regional trauma center, severe trauma Nighttime"
(상급종합병원·종합병원)만1세이상~만6세미만 권역외상센터중증외상 공휴,"(Senior General Hospital, General Hospital) More than 12 months~ Under 72 months regional trauma center, severe trauma holiday"
장기이식수술,Organ Transplant Surgery
심폐체외순환법,Cardiopulmonary Extracorporeal Circulation
일측폐환기법,one-lung ventilation
고빈도제트환기법,High frequency jet ventilation
개흉적심장수술,heart surgery by Thoracotomy
"개두술(뇌종양,뇌혈관질환)","Craniotomy (brain tumor, cerebrovascular disease)"
중증외상환자에대한수술,Surgery for severe trauma patient
ASA-PS3이상환자에대한수술,Surgery for Patient with ASA-PS3 or more
야간 장기이식수술,"Nighttime, Organ Transplant Surgery"
야간 심폐체외순환법,"Nighttime, Cardiopulmonary Extracorporeal Circulation"
야간 일측폐환기법,"Nighttime, one-lung ventilation"
야간 고빈도제트환기법,"Nighttime, High frequency jet ventilation"
야간 개흉적심장수술,"Nighttime, heart surgery by Thoracotomy"
"야간 개두술(뇌종양,뇌혈관질환)","Nighttime, Craniotomy (brain tumor, cerebrovascular disease)"
야간 중증외상환자에대한수술,"Nighttime, Surgery for severe trauma patient"
야간 ASA-PS3이상환자에대한수술,"Nighttime, Surgery for Patient with ASA-PS3 or more"
공휴일 장기이식수술,holiday Organ Transplant Surgery
공휴일 심폐체외순환법,holiday Cardiopulmonary Extracorporeal Circulation
공휴일 일측폐환기법,holiday one-lung ventilation
공휴일 고빈도제트환기법,holiday High frequency jet ventilation
공휴일 개흉적심장수술,holiday heart surgery by Thoracotomy
"공휴일 개두술(뇌종양,뇌혈관질환)","holiday Craniotomy (brain tumor, cerebrovascular disease)"
공휴일 중증외상환자에대한수술,holiday Surgery for severe trauma patient
공휴일 ASA-PS3이상환자에대한수술,holiday Surgery for Patient with ASA-PS3 or more
"의원·치과의원(보건의료원포함)야간,토요,공휴 장기이식수술","Clinic, dental clinic(including Public Health and Medical care center) Nighttime, Saturday, holiday, Organ Transplant Surgery"
"의원·치과의원(보건의료원포함)야간,토요,공휴 심폐체외순환법","Clinic, dental clinic(including Public Health and Medical care center) Nighttime, Saturday, holiday, Cardiopulmonary Extracorporeal Circulation"
"의원·치과의원(보건의료원포함)야간,토요,공휴 일측폐환기법","Clinic, dental clinic(including Public Health and Medical care center) Nighttime, Saturday, holiday, one-lung ventilation"
"의원·치과의원(보건의료원포함)야간,토요,공휴 고빈도제트환기법","Clinic, dental clinic(including Public Health and Medical care center) Nighttime, Saturday, holiday, High frequency jet ventilation"
"의원·치과의원(보건의료원포함)야간,토요,공휴 개흉적심장수술","Clinic, dental clinic(including Public Health and Medical care center) Nighttime, Saturday, holiday, heart surgery by Thoracotomy"
"의원·치과의원(보건의료원포함)야간,토요,공휴 개두술(뇌종양,뇌혈관질환)","Clinic, dental clinic(including Public Health and Medical care center) Nighttime, Saturday, holiday, Craniotomy (brain tumor, cerebrovascular disease)"
"의원·치과의원(보건의료원포함)야간,토요,공휴 중증외상환자에대한수술","Clinic, dental clinic(including Public Health and Medical care center) Nighttime, Saturday, holiday, Surgery for severe trauma patient"
"의원·치과의원(보건의료원포함)야간,토요,공휴 ASA-PS3이상환자에대한수술","Clinic, dental clinic(including Public Health and Medical care center) Nighttime, Saturday, holiday, Surgery for Patient with ASA-PS3 or more"
신생아 장기이식수술,"Neonate, Organ Transplant Surgery"
신생아 심폐체외순환법,"Neonate, Cardiopulmonary Extracorporeal Circulation"
신생아 일측폐환기법,"Neonate, one-lung ventilation"
신생아 고빈도제트환기법,"Neonate, High frequency jet ventilation"
신생아 개흉적심장수술,"Neonate, heart surgery by Thoracotomy"
"신생아 개두술(뇌종양,뇌혈관질환)","Neonate, Craniotomy (brain tumor, cerebrovascular disease)"
신생아 중증외상환자에대한수술,"Neonate, Surgery for severe trauma patient"
신생아 야간 장기이식수술,"Neonate, Nighttime, Organ Transplant Surgery"
신생아 야간 심폐체외순환법,"Neonate Nighttime, Cardiopulmonary Extracorporeal Circulation"
신생아 야간 일측폐환기법,"Neonate Nighttime, one-lung ventilation"
신생아 야간 고빈도제트환기법,"Neonate Nighttime, High frequency jet ventilation"
신생아 야간 개흉적심장수술,"Neonate Nighttime, heart surgery by Thoracotomy"
"신생아 야간 개두술(뇌종양,뇌혈관질환)","Neonate Nighttime, Craniotomy (brain tumor, cerebrovascular disease)"
신생아 야간 중증외상환자에대한수술,"Neonate Nighttime, Surgery for severe trauma patient"
신생아 공휴일 장기이식수술,Neonate holiday Organ Transplant Surgery
신생아 공휴일 심폐체외순환법,Neonate holiday Cardiopulmonary Extracorporeal Circulation
신생아 공휴일 일측폐환기법,Neonate holiday one-lung ventilation
신생아 공휴일 고빈도제트환기법,Neonate holiday High frequency jet ventilation
신생아 공휴일 개흉적심장수술,Neonate holiday heart surgery by Thoracotomy
"신생아 공휴일 개두술(뇌종양,뇌혈관질환)","Neonate holiday Craniotomy (brain tumor, cerebrovascular disease)"
